section,metric,inductive,v2_combined,trans_matched
lambda_sweep,alpha=0.30,0.8315,,
lambda_sweep,alpha=0.40,0.8223,,
lambda_sweep,alpha=0.50,0.8028,,
lambda_sweep,alpha=0.60,0.7704,,
lambda_sweep,alpha=0.70,0.7174,,
comparison,overall_R@5,0.8315,0.9165,0.9183
comparison,overall_R@10,0.8826,,
comparison,overall_R@20,0.9161,,
comparison,overall_delta,0.0011,0.0861,0.0878
comparison,overall_ci_lower,-0.0025,0.0815,0.0830
comparison,overall_ci_upper,0.0047,0.0907,0.0926
comparison,easy_R@5,0.9722,0.9973,0.9956
comparison,easy_delta,-0.0278,-0.0027,-0.0044
comparison,hard_R@5,0.5307,0.7437,0.7529
comparison,hard_delta,0.0630,0.2760,0.2851
comparison,hard_ci_lower,0.0549,0.2652,0.2736
comparison,hard_ci_upper,0.0712,0.2870,0.2965
comparison,disjoint_R@5,0.7826,0.8923,0.8987
comparison,disjoint_delta,-0.0206,0.0890,0.0955
comparison,disjoint_ci_lower,-0.0297,0.0748,0.0806
comparison,disjoint_ci_upper,-0.0116,0.1039,0.1110
